City ,State ,"2021
Estimate ","2010
Census ",Change 
Abaetetuba , Pará ,160439,141100,+13.71% 
Abreu e Lima , Pernambuco ,100698,94429,+6.64% 
Açailândia , Maranhão ,113783,104047,+9.36% 
Águas Lindas de Goiás , Goiás ,222850,159378,+39.82% 
Alagoinhas , Bahia ,153023,141949,+7.80% 
Almirante Tamandaré , Paraná ,121420,103204,+17.65% 
Altamira , Pará ,117320,99075,+18.42% 
Alvorada , Rio Grande do Sul ,212352,195673,+8.52% 
Americana , São Paulo ,244370,210638,+16.01% 
Ananindeua , Pará ,540410,471980,+14.50% 
Anápolis , Goiás ,396526,334613,+18.50% 
Angra dos Reis , Rio de Janeiro ,210171,169511,+23.99% 
Aparecida de Goiânia , Goiás ,601844,455657,+32.08% 
Apucarana , Paraná ,137438,120919,+13.66% 
Aracaju , Sergipe ,672614,571149,+17.77% 
Araçatuba , São Paulo ,199210,181579,+9.71% 
Aracruz , Espírito Santo ,104942,81832,+28.24% 
Araguaína , Tocantins ,186245,150484,+23.76% 
Araguari , Minas Gerais ,118361,109801,+7.80% 
Arapiraca , Alagoas ,234309,214006,+9.49% 
Arapongas , Paraná ,126545,104150,+21.50% 
Araraquara , São Paulo ,240542,208662,+15.28% 
Araras , São Paulo ,136739,118843,+15.06% 
Araruama , Rio de Janeiro ,136109,112008,+21.52% 
Araucária , Paraná ,148522,119123,+24.68% 
Araxá , Minas Gerais ,108403,93672,+15.73% 
Ariquemes , Rondônia ,111148,90353,+23.02% 
Assis , São Paulo ,105768,95144,+11.17% 
Atibaia , São Paulo ,145378,126603,+14.83% 
Bacabal , Maranhão ,105094,100014,+5.08% 
Bagé , Rio Grande do Sul ,121518,116794,+4.04% 
Balneário Camboriú , Santa Catarina ,149227,108089,+38.06% 
Barbacena , Minas Gerais ,139061,126284,+10.12% 
Barcarena , Pará ,129333,99859,+29.52% 
Barra do Piraí , Rio de Janeiro ,101139,94778,+6.71% 
Barra Mansa , Rio de Janeiro ,185237,177813,+4.18% 
Barreiras , Bahia ,158432,137427,+15.28% 
Barretos , São Paulo ,123546,112101,+10.21% 
Barueri , São Paulo ,279704,240749,+16.18% 
Bauru , São Paulo ,381706,343937,+10.98% 
Belém , Pará ,1506420,1393399,+8.11% 
Belford Roxo , Rio de Janeiro ,515239,469332,+9.78% 
Belo Horizonte , Minas Gerais ,2530701,2375151,+6.55% 
Bento Gonçalves , Rio Grande do Sul ,123090,107278,+14.74% 
Betim , Minas Gerais ,450024,378089,+19.03% 
Birigui , São Paulo ,126094,108728,+15.97% 
Blumenau , Santa Catarina ,366418,309011,+18.58% 
Boa Vista , Roraima ,436591,284313,+53.56% 
Botucatu , São Paulo ,149718,127328,+17.58% 
Bragança , Pará ,130122,113227,+14.92% 
Bragança Paulista , São Paulo ,172346,146744,+17.45% 
Brasília , Distrito Federal ,3094325,2570160,+20.39% 
Breves , Pará ,104280,92860,+12.30% 
Brusque , Santa Catarina ,140597,105503,+33.26% 
Cabo de Santo Agostinho , Pernambuco ,210796,185025,+13.93% 
Cabo Frio , Rio de Janeiro ,234077,186227,+25.69% 
Cachoeirinha , Rio Grande do Sul ,132144,118278,+11.72% 
Cachoeiro de Itapemirim , Espírito Santo ,212172,189889,+11.73% 
Caieiras , São Paulo ,104044,86529,+20.24% 
Camaçari , Bahia ,309208,242970,+27.26% 
Camaragibe , Pernambuco ,159945,144466,+10.71% 
Cambé , Paraná ,108126,96733,+11.78% 
Cametá , Pará ,140814,120896,+16.48% 
Campina Grande , Paraíba ,413830,385213,+7.43% 
Campinas , São Paulo ,1223237,1080113,+13.25% 
Campo Grande , Mato Grosso do Sul ,916001,786797,+16.42% 
Campo Largo , Paraná ,135678,112377,+20.73% 
Campos dos Goytacazes , Rio de Janeiro ,514643,463731,+10.98% 
Canoas , Rio Grande do Sul ,349728,323827,+8.00% 
